BBL,Borough,Block,Lot,Name of Plan,Date Adopted,Status,Expiration,Last Updated,Disposition,Filterable Disposition,Source,Justification for Inclusion
1003950045,1,395,45,East 14th Street-Avenue B,1969,Expired,2009,1969,Residential,,HPD,
1003950048,1,395,48,East 14th Street-Avenue B,1969,Expired,2009,1969,Residential,,HPD,
1003950051,1,395,51,East 14th Street-Avenue B,1969,Expired,2009,1969,Residential,,HPD,
1003950052,1,395,52,East 14th Street-Avenue B,1969,Expired,2009,1969,Residential,,HPD,
1003950053,1,395,53,East 14th Street-Avenue B,1969,Expired,2009,1969,Residential,,HPD,
1003950054,1,395,54,East 14th Street-Avenue B,1969,Expired,2009,1969,Residential,,HPD,
1003950055,1,395,55,East 14th Street-Avenue B,1969,Expired,2009,1969,Residential,,HPD,
1003950057,1,395,57,East 14th Street-Avenue B,1969,Expired,2009,1969,Residential,,HPD,
1003950058,1,395,58,East 14th Street-Avenue B,1969,Expired,2009,1969,Residential,,HPD,
1009290059,1,929,59,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009290041,1,929,41,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009290045,1,929,45,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009290043,1,929,43,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009290001,1,929,1,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009290002,1,929,2,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009290003,1,929,3,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009290004,1,929,4,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009290005,1,929,5,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009290006,1,929,6,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009290007,1,929,7,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009290008,1,929,8,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009290009,1,929,9,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009290015,1,929,15,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009290016,1,929,16,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009290017,1,929,17,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009290018,1,929,18,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009290020,1,929,20,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009290021,1,929,21,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009290024,1,929,24,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009290025,1,929,25,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009290026,1,929,26,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009290027,1,929,27,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009290028,1,929,28,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009290029,1,929,29,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009290037,1,929,37,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009290039,1,929,39,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009290040,1,929,40,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009290042,1,929,42,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009290044,1,929,44,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009290046,1,929,46,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009290047,1,929,47,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009290048,1,929,48,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009290049,1,929,49,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009290050,1,929,50,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009290030,1,929,30,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009290031,1,929,31,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009290032,1,929,32,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009290033,1,929,33,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009290034,1,929,34,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009290035,1,929,35,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009290036,1,929,36,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009290135,1,929,135,Bellevue South,1964,Expired,2004,1994,residential,,Manual,Inclusion based on Atlas Boundaries
1009300012,1,930,12,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009300013,1,930,13,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009300014,1,930,14,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009300015,1,930,15,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009300016,1,930,16,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009300017,1,930,17,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009300018,1,930,18,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009300019,1,930,19,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009300020,1,930,20,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009300021,1,930,21,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009300022,1,930,22,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009300023,1,930,23,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009300024,1,930,24,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009300025,1,930,25,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009300026,1,930,26,Bellevue South,1964,Expired,2004,1994,public/ semipublic,,HPD,
1009300027,1,930,27,Bellevue South,1964,Expired,2004,1994,public/ semipublic,,HPD,
1009300028,1,930,28,Bellevue South,1964,Expired,2004,1994,public/ semipublic,,HPD,
1009300029,1,930,29,Bellevue South,1964,Expired,2004,1994,public/ semipublic,,HPD,
1009300030,1,930,30,Bellevue South,1964,Expired,2004,1994,public/ semipublic,,HPD,
1009300031,1,930,31,Bellevue South,1964,Expired,2004,1994,public/ semipublic,,HPD,
1009300032,1,930,32,Bellevue South,1964,Expired,2004,1994,public/ semipublic,,HPD,
1009300033,1,930,33,Bellevue South,1964,Expired,2004,1994,public/ semipublic,,HPD,
1009300035,1,930,35,Bellevue South,1964,Expired,2004,1994,public/ semipublic,,HPD,
1009300036,1,930,36,Bellevue South,1964,Expired,2004,1994,public/ semipublic,,HPD,
1009300036,1,930,36,Bellevue South,1964,Expired,2004,1994,public/ semipublic,,HPD,
1009300037,1,930,37,Bellevue South,1964,Expired,2004,1994,public/ semipublic,,HPD,
1009300039,1,930,39,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009300040,1,930,40,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009300044,1,930,44,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009300045,1,930,45,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009300046,1,930,46,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009300047,1,930,47,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009300048,1,930,48,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009300049,1,930,49,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009300050,1,930,50,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009310001,1,931,1,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009310002,1,931,2,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009310003,1,931,3,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009310004,1,931,4,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009310007,1,931,7,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009310008,1,931,8,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009310011,1,931,11,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009310016,1,931,16,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009310017,1,931,17,Bellevue South,1964,Expired,2004,1994,public/semi public,,HPD,
1009310019,1,931,19,Bellevue South,1964,Expired,2004,1994,public/semi public,,HPD,
1009310020,1,931,20,Bellevue South,1964,Expired,2004,1994,public/semi public,,HPD,
1009310021,1,931,21,Bellevue South,1964,Expired,2004,1994,public/semi public,,Manual,Split Off from 1
1009310023,1,931,23,Bellevue South,1964,Expired,2004,1994,public/semi public,,HPD,
1009310024,1,931,24,Bellevue South,1964,Expired,2004,1994,public/semi public,,HPD,
1009310026,1,931,26,Bellevue South,1964,Expired,2004,1994,public/semi public,,HPD,
1009310036,1,931,36,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009310037,1,931,37,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009310040,1,931,40,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009310041,1,931,41,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009310042,1,931,42,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009310043,1,931,43,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009310044,1,931,44,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009310048,1,931,48,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009310049,1,931,49,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009310050,1,931,50,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009310051,1,931,51,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009310052,1,931,52,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009310053,1,931,53,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009310054,1,931,54,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009310055,1,931,55,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009310056,1,931,56,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009310057,1,931,57,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009310058,1,931,58,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009320001,1,932,1,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009320002,1,932,2,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009320003,1,932,3,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009320004,1,932,4,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009320005,1,932,5,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009320006,1,932,6,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009320007,1,932,7,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009320008,1,932,8,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009320009,1,932,9,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009320010,1,932,10,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009320011,1,932,11,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009320013,1,932,13,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009320014,1,932,14,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009320015,1,932,15,Bellevue South,1964,Expired,2004,1994,public park,,HPD,
1009320016,1,932,16,Bellevue South,1964,Expired,2004,1994,public park,,HPD,
1009320017,1,932,17,Bellevue South,1964,Expired,2004,1994,public park,,HPD,
1009320039,1,932,39,Bellevue South,1964,Expired,2004,1994,public park,,HPD,
1009320040,1,932,40,Bellevue South,1964,Expired,2004,1994,public park,,HPD,
1009320041,1,932,41,Bellevue South,1964,Expired,2004,1994,public park,,HPD,
1009320042,1,932,42,Bellevue South,1964,Expired,2004,1994,public park,,HPD,
1009320043,1,932,43,Bellevue South,1964,Expired,2004,1994,public park,,HPD,
1009320044,1,932,44,Bellevue South,1964,Expired,2004,1994,public park,,HPD,
1009320045,1,932,45,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009320046,1,932,46,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009320047,1,932,47,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009320048,1,932,48,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009320049,1,932,49,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009320051,1,932,51,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009320055,1,932,55,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009320056,1,932,56,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009330001,1,933,1,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009330002,1,933,2,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009330003,1,933,3,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009330004,1,933,4,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009330007,1,933,7,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009330008,1,933,8,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009330009,1,933,9,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009330014,1,933,14,Bellevue South,1964,Expired,2004,1994,public park,,HPD,
1009330016,1,933,16,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009330025,1,933,25,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009330041,1,933,41,Bellevue South,1964,Expired,2004,1994,public park,,HPD,
1009330042,1,933,42,Bellevue South,1964,Expired,2004,1994,public park,,HPD,
1009330043,1,933,43,Bellevue South,1964,Expired,2004,1994,public park,,HPD,
1009330044,1,933,44,Bellevue South,1964,Expired,2004,1994,public park,,HPD,
1009330045,1,933,45,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009330046,1,933,46,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009330049,1,933,49,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009330050,1,933,50,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009330051,1,933,51,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009330052,1,933,52,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009330053,1,933,53,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009330054,1,933,54,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009330056,1,933,56,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009330057,1,933,57,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009330010,1,933,10,Bellevue South,1964,Expired,2004,1994,public park,,HPD,
1009340031,1,934,31,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009340030,1,934,30,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009340029,1,934,29,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009340028,1,934,28,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009340024,1,934,24,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009340001,1,934,1,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009340002,1,934,2,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009340003,1,934,3,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009340004,1,934,4,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009340005,1,934,5,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009340006,1,934,6,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009340008,1,934,8,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009340010,1,934,10,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009340012,1,934,12,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009340014,1,934,14,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009340015,1,934,15,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009340016,1,934,16,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009340017,1,934,17,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009340018,1,934,18,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009340019,1,934,19,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009340034,1,934,34,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009340037,1,934,37,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009340038,1,934,38,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009340039,1,934,39,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009340040,1,934,40,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009340041,1,934,41,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009340044,1,934,44,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009340046,1,934,46,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009340047,1,934,47,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009340048,1,934,48,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009340050,1,934,50,Bellevue South,1964,Expired,2004,1994,residential,,Manual,Lots Merged
1009340051,1,934,51,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009340052,1,934,52,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009340053,1,934,53,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009340054,1,934,54,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009340055,1,934,55,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009350001,1,935,1,Bellevue South,1964,Expired,2004,1994,public park,,HPD,
1009350003,1,935,3,Bellevue South,1964,Expired,2004,1994,public park,,HPD,
1009350004,1,935,4,Bellevue South,1964,Expired,2004,1994,public park,,HPD,
1009350005,1,935,5,Bellevue South,1964,Expired,2004,1994,public park,,HPD,
1009350013,1,935,13,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009350016,1,935,16,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009350017,1,935,17,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009350018,1,935,18,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009350019,1,935,19,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1009350024,1,935,24,Bellevue South,1964,Expired,2004,1994,residential,,HPD,
1000370023,1,37,23,Brooklyn Bridge Southeast,1969,Active,2068,1998,"Commercial. Transportation. Commercial-Public uses shall include commercial development as permitted in the underlying mapped zoning district which is compatible with the theme and concept of the South Street Seaport, and uses of public or semi-public nature such as parks, pedestrian thoroughfares, open space, institutional and accessory uses and other uses of a public nature, and Fulton Fish Market uses as permitted in the LMD.",,HPD,
1000360030,1,36,30,Brooklyn Bridge Southeast,1969,Active,2068,1998,"Commercial. Transportation. Commercial-Public uses shall include commercial development as permitted in the underlying mapped zoning district which is compatible with the theme and concept of the South Street Seaport, and uses of public or semi-public nature such as parks, pedestrian thoroughfares, open space, institutional and accessory uses and other uses of a public nature, and Fulton Fish Market uses as permitted in the LMD.",,HPD,
1000360025,1,36,25,Brooklyn Bridge Southeast,1969,Active,2068,1998,"Commercial. Transportation. Commercial-Public uses shall include commercial development as permitted in the underlying mapped zoning district which is compatible with the theme and concept of the South Street Seaport, and uses of public or semi-public nature such as parks, pedestrian thoroughfares, open space, institutional and accessory uses and other uses of a public nature, and Fulton Fish Market uses as permitted in the LMD.",,HPD,
1000360018,1,36,18,Brooklyn Bridge Southeast,1969,Active,2068,1998,"Commercial. Transportation. Commercial-Public uses shall include commercial development as permitted in the underlying mapped zoning district which is compatible with the theme and concept of the South Street Seaport, and uses of public or semi-public nature such as parks, pedestrian thoroughfares, open space, institutional and accessory uses and other uses of a public nature, and Fulton Fish Market uses as permitted in the LMD.",,HPD,
1001060002,1,106,2,Brooklyn Bridge Southeast,1969,Active,2068,1998,"Commercial. Transportation. Commercial-Public uses shall include commercial development as permitted in the underlying mapped zoning district which is compatible with the theme and concept of the South Street Seaport, and uses of public or semi-public nature such as parks, pedestrian thoroughfares, open space, institutional and accessory uses and other uses of a public nature, and Fulton Fish Market uses as permitted in the LMD.",,Manual,Inclusion based on Atlas Boundaries
1001060003,1,106,3,Brooklyn Bridge Southeast,1969,Active,2068,1998,"Commercial. Transportation. Commercial-Public uses shall include commercial development as permitted in the underlying mapped zoning district which is compatible with the theme and concept of the South Street Seaport, and uses of public or semi-public nature such as parks, pedestrian thoroughfares, open space, institutional and accessory uses and other uses of a public nature, and Fulton Fish Market uses as permitted in the LMD.",,Manual,Inclusion based on Atlas Boundaries
1001067501,1,106,7501,Brooklyn Bridge Southeast,1969,Active,2068,1998,"Commercial. Transportation. Commercial-Public uses shall include commercial development as permitted in the underlying mapped zoning district which is compatible with the theme and concept of the South Street Seaport, and uses of public or semi-public nature such as parks, pedestrian thoroughfares, open space, institutional and accessory uses and other uses of a public nature, and Fulton Fish Market uses as permitted in the LMD.",,Manual,Inclusion based on Atlas Boundaries
1001067503,1,106,7503,Brooklyn Bridge Southeast,1969,Active,2068,1998,"Commercial. Transportation. Commercial-Public uses shall include commercial development as permitted in the underlying mapped zoning district which is compatible with the theme and concept of the South Street Seaport, and uses of public or semi-public nature such as parks, pedestrian thoroughfares, open space, institutional and accessory uses and other uses of a public nature, and Fulton Fish Market uses as permitted in the LMD.",,Manual,Inclusion based on Atlas Boundaries
1001060005,1,106,5,Brooklyn Bridge Southeast,1969,Active,2068,1998,"Commercial. Transportation. Commercial-Public uses shall include commercial development as permitted in the underlying mapped zoning district which is compatible with the theme and concept of the South Street Seaport, and uses of public or semi-public nature such as parks, pedestrian thoroughfares, open space, institutional and accessory uses and other uses of a public nature, and Fulton Fish Market uses as permitted in the LMD.",,Manual,Inclusion based on Atlas Boundaries
1001060006,1,106,6,Brooklyn Bridge Southeast,1969,Active,2068,1998,"Commercial. Transportation. Commercial-Public uses shall include commercial development as permitted in the underlying mapped zoning district which is compatible with the theme and concept of the South Street Seaport, and uses of public or semi-public nature such as parks, pedestrian thoroughfares, open space, institutional and accessory uses and other uses of a public nature, and Fulton Fish Market uses as permitted in the LMD.",,Manual,Inclusion based on Atlas Boundaries
1001060007,1,106,7,Brooklyn Bridge Southeast,1969,Active,2068,1998,"Commercial. Transportation. Commercial-Public uses shall include commercial development as permitted in the underlying mapped zoning district which is compatible with the theme and concept of the South Street Seaport, and uses of public or semi-public nature such as parks, pedestrian thoroughfares, open space, institutional and accessory uses and other uses of a public nature, and Fulton Fish Market uses as permitted in the LMD.",,Manual,Inclusion based on Atlas Boundaries
1001060009,1,106,9,Brooklyn Bridge Southeast,1969,Active,2068,1998,"Commercial. Transportation. Commercial-Public uses shall include commercial development as permitted in the underlying mapped zoning district which is compatible with the theme and concept of the South Street Seaport, and uses of public or semi-public nature such as parks, pedestrian thoroughfares, open space, institutional and accessory uses and other uses of a public nature, and Fulton Fish Market uses as permitted in the LMD.",,Manual,Inclusion based on Atlas Boundaries
1001060017,1,106,17,Brooklyn Bridge Southeast,1969,Active,2068,1998,"Commercial. Transportation. Commercial-Public uses shall include commercial development as permitted in the underlying mapped zoning district which is compatible with the theme and concept of the South Street Seaport, and uses of public or semi-public nature such as parks, pedestrian thoroughfares, open space, institutional and accessory uses and other uses of a public nature, and Fulton Fish Market uses as permitted in the LMD.",,Manual,Inclusion based on Atlas Boundaries
1001067502,1,106,7502,Brooklyn Bridge Southeast,1969,Active,2068,1998,"Commercial. Transportation. Commercial-Public uses shall include commercial development as permitted in the underlying mapped zoning district which is compatible with the theme and concept of the South Street Seaport, and uses of public or semi-public nature such as parks, pedestrian thoroughfares, open space, institutional and accessory uses and other uses of a public nature, and Fulton Fish Market uses as permitted in the LMD.",,Manual,Inclusion based on Atlas Boundaries
1001060020,1,106,20,Brooklyn Bridge Southeast,1969,Active,2068,1998,"Commercial. Transportation. Commercial-Public uses shall include commercial development as permitted in the underlying mapped zoning district which is compatible with the theme and concept of the South Street Seaport, and uses of public or semi-public nature such as parks, pedestrian thoroughfares, open space, institutional and accessory uses and other uses of a public nature, and Fulton Fish Market uses as permitted in the LMD.",,Manual,Inclusion based on Atlas Boundaries
